#{"t_start": 1681299143.4816067, "env_id": "Walker2d-v2"}
r,l,t
-0.944614,14,12.397515
4.985268,24,12.416492
7.690845,28,12.438904
-2.592581,20,12.454708
-3.678828,8,12.461202
10.796597,34,12.487417
3.512735,21,12.503925
-3.156668,14,12.514945
5.379068,21,12.531988
2.611832,20,12.547624
-0.176712,16,12.727994
-2.003626,18,12.743346
2.207563,17,12.756603
32.509457,58,12.801524
10.849226,30,12.824833
18.224308,36,12.85323
6.079825,18,12.867033
-3.555716,12,12.8769
5.069209,15,12.888647
4.800438,18,12.903112
-7.629672,16,12.91558
19.507643,35,12.942074
3.220932,24,12.960284
-1.616194,12,12.969447
6.460528,18,12.982993
20.391263,46,13.017548
19.490109,61,13.063442
4.916357,20,13.078461
1.566358,14,13.089023
18.905448,35,13.115516
4.814495,21,13.131335
44.427548,65,13.18044
7.435487,23,13.198781
25.447674,56,13.242691
6.761601,41,13.274589
2.793695,17,13.287907
0.845294,28,13.310239
3.32308,13,13.320204
4.54341,16,13.332649
0.192944,19,13.347454
3.604522,24,13.366198
0.662682,14,13.377169
2.780979,16,13.389657
-0.863513,9,13.396747
4.731738,16,13.409321
33.128413,54,13.451178
0.729386,14,13.46211
11.718545,29,13.484558
3.665635,25,13.504224
13.210483,37,13.533359
-1.382008,17,13.547211
32.68326,41,13.579522
0.095975,10,13.587312
12.219593,25,13.606783
13.951482,52,13.64695
0.110987,10,13.654825
-2.10322,17,13.668197
-6.219363,15,13.679926
6.117712,66,13.730845
9.143866,24,13.749423
21.802022,35,13.776582
24.503217,47,13.813198
11.484466,26,13.833382
7.437332,34,13.859788
11.589282,50,13.898419
-5.185679,12,13.907806
2.739038,20,13.923241
-2.602287,11,13.93183
-5.23407,27,13.952528
17.050905,33,13.977986
2.604226,22,13.995562
-2.155039,17,14.008879
6.78486,47,14.045197
6.500947,28,14.06718
5.357372,28,14.08889
1.417424,11,14.097626
4.840763,24,14.116227
39.57629,67,14.167971
12.330478,47,14.20459
0.413122,15,14.216438
7.796609,29,14.239169
21.390079,55,14.282507
13.606403,27,14.303479
9.252333,35,14.504975
-1.287352,10,14.513079
61.507811,68,14.564715
-5.657522,15,14.576635
8.206147,26,14.597068
1.275112,14,14.608085
60.478136,89,14.677342
37.195083,55,14.720224
-4.406122,25,14.739711
-5.317092,23,14.757613
56.23577,76,14.816335
-0.376225,21,14.832852
-3.018446,8,14.839173
14.280438,28,14.860966
-1.260398,16,14.873507
8.608951,25,14.893318
2.513543,14,14.904259
10.961001,33,14.929768
12.485259,28,14.951873
13.179066,32,14.977452
2.480319,18,14.991634
21.636495,32,15.016675
-2.037745,23,15.034431
24.767308,49,15.072937
-1.374353,16,15.085112
-2.25343,11,15.093045
32.099883,62,15.140594
15.261166,33,15.16629
-0.058857,24,15.184865
-0.086017,27,15.205878
29.146117,50,15.245093
7.873821,25,15.264311
11.036703,33,15.289995
44.820584,63,15.337412
37.481647,63,15.386461
8.011964,34,15.412889
60.114877,79,15.475562
12.339657,31,15.499631
12.174361,35,15.526848
-2.016735,16,15.539889
30.926689,46,15.575895
63.565801,60,15.621753
18.76875,51,15.66144
10.941494,30,15.685055
3.945817,19,15.699906
-2.550181,16,15.712382
35.665679,45,15.747177
-3.525397,15,15.759106
7.354504,27,15.779718
11.108828,31,15.803803
0.271403,22,15.820839
10.686564,27,15.841979
0.632273,12,15.851538
0.332556,22,15.868713
8.002097,24,15.887762
27.138323,40,15.918388
-0.591599,17,15.931468
3.292598,17,15.944829
3.106789,24,15.963939
20.859314,54,16.005845
-0.306528,16,16.01831
4.957404,18,16.032135
1.811921,17,16.046555
0.195354,22,16.06435
8.8856,29,16.251086
36.976013,77,16.310356
11.763252,32,16.334429
12.294722,30,16.357232
7.793537,31,16.380751
47.251578,74,16.436476
27.861525,41,16.467511
77.230876,96,16.539499
56.527773,73,16.594469
7.483796,21,16.610435
1.420692,23,16.627611
14.424192,32,16.652018
14.627538,30,16.675595
-1.416346,15,16.687106
5.619669,20,16.702552
47.196901,59,16.748917
6.287021,46,16.785073
11.941186,51,16.824998
50.218234,73,16.881786
6.693562,28,16.903502
11.280336,33,16.929527
51.829417,55,16.972245
122.660436,121,17.066479
113.871798,88,17.147794
3.231391,17,17.16117
3.17246,14,17.172143
17.519031,40,17.203973
