EpLenMean,Tsallis-q,surrgain,entropy,TimeElapsed,entloss,EpThisIter,explained_variance_tdlam_before,optimgain,EpisodesSoFar,EpRewMean,meankl,TimestepsSoFar
197.675,1.0,0.010266196,8.064179,106.45720911026001,0.0,11,0.9662996083498001,0.010266196,1526,356.315041125,0.0076072356,120832
188.125,1.0,0.009610477,8.0637455,108.2352283000946,0.0,11,0.9585948325693607,0.009610477,1537,346.30524142499996,0.008662935,122880
194.5,1.0,0.010094268,8.060793,110.06380724906921,0.0,9,0.961567860096693,0.010094268,1546,355.3880682,0.006363329,124928
202.5,1.0,0.012617255,8.05774,111.82966184616089,0.0,10,0.966022614389658,0.012617255,1556,361.608527025,0.009570859,126976
197.125,1.0,0.016311191,8.053461,113.58575963973999,0.0,12,0.932882159948349,0.016311191,1568,343.481311575,0.008166879,129024
198.8,1.0,0.015806463,8.048334,115.36684989929199,0.0,10,0.9690975323319435,0.015806463,1578,352.532473925,0.007073976,131072
193.8,1.0,0.010909775,8.045191,117.15955710411072,0.0,10,0.970256520435214,0.010909775,1588,350.23290480000003,0.0064708875,133120
195.4,1.0,0.008168692,8.042,118.95242047309875,0.0,10,0.9489605762064457,0.008168692,1598,349.62407982499997,0.0038567604,135168
201.55,1.0,0.011139771,8.044161,120.75792479515076,0.0,10,0.9673119001090527,0.011139771,1608,365.15876687499997,0.0069791526,137216
200.95,1.0,0.009609753,8.048095,122.56710720062256,0.0,10,0.9696517866104841,0.009609753,1618,365.57511059999996,0.0071373424,139264
200.6,1.0,0.013203227,8.0476055,124.35344338417053,0.0,11,0.9766583181917667,0.013203227,1629,363.314768425,0.004728401,141312
205.75,1.0,0.011638464,8.053007,126.13508009910583,0.0,9,0.9661603718996048,0.011638464,1638,380.56235335,0.0069463206,143360
210.65,1.0,0.008928673,8.054934,127.97006511688232,0.0,8,0.9286707416176796,0.008928673,1646,378.984116225,0.0024503656,145408
213.25,1.0,0.010717338,8.047242,129.74722385406494,0.0,11,0.9792606346309185,0.010717338,1657,382.854937075,0.0044589387,147456
218.25,1.0,0.009130575,8.036841,131.5421781539917,0.0,9,0.9709806572645903,0.009130575,1666,379.51561915,0.006031327,149504
205.825,1.0,0.02046246,8.0289,133.32288789749146,0.0,12,0.9458583556115627,0.02046246,1678,355.74286094999997,0.007011601,151552
197.0,1.0,0.0090528205,8.025787,135.0857048034668,0.0,10,0.9724740907549858,0.0090528205,1688,356.40887435,0.005225692,153600
191.675,1.0,0.011775846,8.020721,136.82648181915283,0.0,11,0.9717800375074148,0.011775846,1699,347.27170494999996,0.004492142,155648
188.7,1.0,0.009193904,8.008028,138.53615140914917,0.0,10,0.9703046195209026,0.009193904,1709,356.38697872499995,0.0051719327,157696
196.275,1.0,0.010836769,8.000151,140.2809603214264,0.0,10,0.9792291894555092,0.010836769,1719,380.0953821,0.0066894,159744
199.65,1.0,0.009299355,8.001459,142.06885409355164,0.0,10,0.9743069000542164,0.009299355,1729,382.5866724250001,0.005596758,161792
198.675,1.0,0.0112473555,7.9997635,143.85936641693115,0.0,11,0.9772269073873758,0.0112473555,1740,389.447295125,0.0064720763,163840
194.0,1.0,0.01385935,7.9941635,145.64580416679382,0.0,11,0.96445631980896,0.01385935,1751,363.73739695000006,0.006419939,165888
197.35,1.0,0.014810962,7.985481,147.40027117729187,0.0,9,0.9569825120270252,0.014810962,1760,364.87625355,0.0071399524,167936
198.525,1.0,0.010016219,7.975738,149.19498229026794,0.0,10,0.9817895404994488,0.010016219,1770,373.1605518,0.006667829,169984
201.85,1.0,0.010591657,7.9683547,150.98707604408264,0.0,11,0.9833464119583368,0.010591657,1781,377.68367005,0.006333869,172032
205.95,1.0,0.011190841,7.9638386,152.78603386878967,0.0,10,0.9738832972943783,0.011190841,1791,404.4765875,0.0081713125,174080
195.525,1.0,0.01588005,7.9642634,154.58290910720825,0.0,11,0.9892697744071484,0.01588005,1802,397.744955175,0.010128014,176128
192.25,1.0,0.010728048,7.9594655,156.45918583869934,0.0,11,0.9777899440377951,0.010728048,1813,391.818146225,0.006490882,178176
192.15,1.0,0.010547109,7.9467697,158.26851892471313,0.0,10,0.9809623658657074,0.010547109,1823,395.092430675,0.005269109,180224
189.725,1.0,0.015642663,7.9404225,160.0384328365326,0.0,11,0.9728974141180515,0.015642663,1834,398.526306625,0.0054364926,182272
193.2,1.0,0.010780353,7.941801,161.9133379459381,0.0,10,0.9811697322875261,0.010780353,1844,401.7750094,0.006431984,184320
195.2,1.0,0.011055542,7.943482,163.68845558166504,0.0,10,0.9881736459210515,0.011055542,1854,409.500986075,0.0065858234,186368
196.35,1.0,0.012499291,7.9407043,165.44395065307617,0.0,11,0.9887500423938036,0.012499291,1865,413.83303457499994,0.0077799405,188416
194.85,1.0,0.015113968,7.9398117,167.26865768432617,0.0,11,0.942917812615633,0.015113968,1876,411.96501932499996,0.0059542516,190464
190.525,1.0,0.016518928,7.93457,169.08236980438232,0.0,10,0.9770774021744728,0.016518928,1886,410.39359327500006,0.008143347,192512
193.2,1.0,0.014547516,7.928222,170.92552137374878,0.0,11,0.9775989297777414,0.014547516,1897,423.93029379999996,0.0072664246,194560
195.35,1.0,0.015522858,7.92724,172.74765968322754,0.0,10,0.9793956447392702,0.015522858,1907,433.503840675,0.009768041,196608
201.3,1.0,0.016356647,7.9217544,174.51856327056885,0.0,10,0.9620289579033852,0.016356647,1917,449.9877393750001,0.006315736,198656
201.575,1.0,0.008115659,7.9145513,176.30298161506653,0.0,10,0.9617817029356956,0.008115659,1927,448.80721437499994,0.004941324,200704
201.6,1.0,0.0152548365,7.9101257,178.07249784469604,0.0,10,0.9768970347940922,0.0152548365,1937,448.7072136500001,0.010124711,202752
199.225,1.0,0.011148974,7.90689,179.83904910087585,0.0,11,0.983639208599925,0.011148974,1948,446.48564609999994,0.006470112,204800
195.6,1.0,0.017336879,7.9041686,181.58726716041565,0.0,10,0.9499694295227528,0.017336879,1958,444.04205602499997,0.008435631,206848
192.1,1.0,0.0197094,7.896858,183.37411761283875,0.0,11,0.9503761306405067,0.0197094,1969,444.405269125,0.012099329,208896
194.725,1.0,0.012583442,7.8866897,185.16422200202942,0.0,10,0.9663265459239483,0.012583442,1979,450.411686725,0.010332591,210944
198.55,1.0,0.012208314,7.8789353,186.9423108100891,0.0,10,0.9571580626070499,0.012208314,1989,465.843058725,0.0072452063,212992
205.575,1.0,0.011693237,7.872681,188.72743391990662,0.0,9,0.967338927090168,0.011693237,1998,478.57637005,0.005734657,215040
208.725,1.0,0.016859442,7.86402,190.51693272590637,0.0,10,0.9640551023185253,0.016859442,2008,491.367290925,0.012332005,217088
215.35,1.0,0.016782587,7.8586717,192.29425954818726,0.0,9,0.9695638790726662,0.016782587,2017,513.1027753999999,0.0075943274,219136
225.675,1.0,0.0108569255,7.8550057,194.08789467811584,0.0,9,0.9696755539625883,0.0108569255,2026,544.0587520749999,0.00600515,221184
228.925,1.0,0.018849082,7.85019,195.85927653312683,0.0,8,0.9548608139157295,0.018849082,2034,558.362753925,0.009542961,223232
228.625,1.0,0.015151051,7.847197,197.60467720031738,0.0,9,0.9655690900981426,0.015151051,2043,556.47497945,0.010908073,225280
237.475,1.0,0.01601623,7.844818,199.39983797073364,0.0,9,0.9590809680521488,0.01601623,2052,579.1141658,0.009720363,227328
235.075,1.0,0.017166581,7.8377666,201.19107151031494,0.0,9,0.9540484137833118,0.017166581,2061,570.08246545,0.014139458,229376
233.525,1.0,0.016485963,7.8260207,202.97874236106873,0.0,8,0.9747483525425196,0.016485963,2069,556.02172275,0.00840505,231424
236.5,1.0,0.020990025,7.816625,204.7651925086975,0.0,9,0.9602910652756691,0.020990025,2078,574.2093232249999,0.017365595,233472
242.175,1.0,0.014758703,7.809448,206.49473643302917,0.0,7,0.9763629138469696,0.014758703,2085,593.073701675,0.008922936,235520
248.1,1.0,0.013365098,7.803587,208.28688836097717,0.0,8,0.9813752919435501,0.013365098,2093,617.7260602,0.0070325397,237568
251.95,1.0,0.019742798,7.7963614,210.03840923309326,0.0,8,0.9677894003689289,0.019742798,2101,630.8107626000001,0.017272785,239616
252.6,1.0,0.016254269,7.786125,211.81452775001526,0.0,9,0.9711714927107096,0.016254269,2110,635.91043085,0.008607075,241664
267.6,1.0,0.018750127,7.7803974,213.57715034484863,0.0,5,0.966069832444191,0.018750127,2115,679.6822022,0.009674715,243712
277.125,1.0,0.018433452,7.7730637,215.3043532371521,0.0,7,0.976127028465271,0.018433452,2122,715.606944825,0.01224954,245760
284.875,1.0,0.016866088,7.76413,217.09430718421936,0.0,6,0.9702199958264828,0.016866088,2128,735.2401022,0.010266393,247808
295.05,1.0,0.013709742,7.755247,218.86242294311523,0.0,7,0.9722491558641195,0.013709742,2135,769.544350625,0.008711578,249856
313.75,1.0,0.016895529,7.7462234,220.6332094669342,0.0,5,0.9707879051566124,0.016895529,2140,820.63556585,0.008310574,251904
325.975,1.0,0.018136706,7.7423015,222.41586446762085,0.0,6,0.9585952609777451,0.018136706,2146,856.0283543749999,0.011118389,253952
342.275,1.0,0.020102482,7.742828,224.18355250358582,0.0,6,0.98000075109303,0.020102482,2152,908.626553375,0.01158474,256000
334.1,1.0,0.011893617,7.738677,225.93187928199768,0.0,7,0.9756105542182922,0.011893617,2159,880.81436115,0.0057461457,258048
345.95,1.0,0.014933653,7.731103,227.69832968711853,0.0,5,0.9807519689202309,0.014933653,2164,919.216164275,0.009224198,260096
341.375,1.0,0.013766808,7.7272024,229.46245503425598,0.0,6,0.982748968526721,0.013766808,2170,898.948921775,0.009738597,262144
338.125,1.0,0.012096533,7.7294927,231.21525835990906,0.0,7,0.9691335689276457,0.012096533,2177,889.9538213,0.00796398,264192
333.625,1.0,0.011430729,7.7307205,232.9834189414978,0.0,6,0.9685222171247005,0.011430729,2183,877.1837274249999,0.008056105,266240
333.625,1.0,0.017490666,7.732902,234.7544128894806,0.0,6,0.9761668890714645,0.017490666,2189,881.1838520000001,0.008019978,268288
338.075,1.0,0.016432457,7.730445,236.49039483070374,0.0,5,0.9819488357752562,0.016432457,2194,902.165182075,0.008290486,270336
326.25,1.0,0.013280115,7.72241,238.26815176010132,0.0,8,0.9807094000279903,0.013280115,2202,867.6554978500001,0.008080771,272384
325.6,1.0,0.01395149,7.7165546,240.06989789009094,0.0,6,0.974247757345438,0.01395149,2208,868.443814525,0.007371111,274432
332.575,1.0,0.017846558,7.714111,241.85246181488037,0.0,6,0.9774790927767754,0.017846558,2214,891.9301495249999,0.009535218,276480
339.575,1.0,0.018949019,7.7155523,243.61032795906067,0.0,5,0.982110382989049,0.018949019,2219,921.964833625,0.011547261,278528
329.7,1.0,0.015388298,7.7232685,245.35929822921753,0.0,8,0.9731205329298973,0.015388298,2227,895.1068157249999,0.0073556015,280576
320.575,1.0,0.017033387,7.7283955,247.11301922798157,0.0,6,0.9688152838498354,0.017033387,2233,870.4651478749998,0.011504685,282624
331.05,1.0,0.0147223035,7.7214594,248.86438918113708,0.0,6,0.9772908017039299,0.0147223035,2239,906.3883540250001,0.009206998,284672
323.625,1.0,0.03262712,7.713255,250.64284372329712,0.0,7,0.9681611992418766,0.03262712,2246,894.0766472250001,0.019400286,286720
311.075,1.0,0.022285301,7.70935,252.41380906105042,0.0,7,0.9492895863950253,0.022285301,2253,852.02358845,0.01024555,288768
313.85,1.0,0.014858526,7.7049556,254.15911769866943,0.0,5,0.94087253510952,0.014858526,2258,848.51869795,0.009389241,290816
324.3,1.0,0.011989946,7.701292,255.93386816978455,0.0,4,0.9406088031828403,0.011989946,2262,866.388010925,0.0047557447,292864
347.175,1.0,0.016421331,7.6931076,257.68610548973083,0.0,6,0.9807953163981438,0.016421331,2268,931.2233066250001,0.009102099,294912
342.075,1.0,0.013394432,7.6860037,259.4689128398895,0.0,7,0.9800906032323837,0.013394432,2275,918.81480815,0.006887938,296960
330.525,1.0,0.018603891,7.6810045,261.2596161365509,0.0,8,0.9232869446277618,0.018603891,2283,868.083741475,0.009729225,299008
332.15,1.0,0.0135095185,7.677986,263.0095090866089,0.0,6,0.9763960596174002,0.0135095185,2289,871.5619248750002,0.008853989,301056
351.9,1.0,0.0136218835,7.677857,264.76944518089294,0.0,4,0.9576622173190117,0.0136218835,2293,932.8607040250001,0.007507249,303104
344.125,1.0,0.0194556,7.6793275,266.5549385547638,0.0,7,0.9764290004968643,0.0194556,2300,923.7549061249999,0.011319328,305152
316.775,1.0,0.0120985415,7.6785955,268.33301877975464,0.0,7,0.9796758163720369,0.0120985415,2307,855.9589499,0.008805072,307200
312.525,1.0,0.019024365,7.677613,270.0867848396301,0.0,7,0.9814252015203238,0.019024365,2314,839.6252689,0.009970829,309248
318.675,1.0,0.023556665,7.6733394,271.84433126449585,0.0,7,0.9679847992956638,0.023556665,2321,873.67740785,0.012238003,311296
333.45,1.0,0.01801766,7.6712728,273.6237142086029,0.0,5,0.9719929285347462,0.01801766,2326,910.14528445,0.009560863,313344
321.9,1.0,0.012621382,7.667114,275.4035527706146,0.0,6,0.9786452017724514,0.012621382,2332,883.8896579249998,0.009355508,315392
325.95,1.0,0.018280271,7.658813,277.19327449798584,0.0,6,0.9736649990081787,0.018280271,2338,896.1048741000001,0.0068512945,317440
326.525,1.0,0.014597774,7.654053,278.9444274902344,0.0,7,0.9476500153541565,0.014597774,2345,888.7175185,0.008044108,319488
325.55,1.0,0.012151813,7.651733,280.7205696105957,0.0,6,0.9687680881470442,0.012151813,2351,885.0872973000002,0.0066873226,321536
333.75,1.0,0.017565133,7.6492014,282.4813439846039,0.0,7,0.9760304894298315,0.017565133,2358,915.1030139500001,0.008749541,323584
317.475,1.0,0.023709787,7.6452875,284.27379727363586,0.0,6,0.9593527130782604,0.023709787,2364,871.324259125,0.017806657,325632
335.375,1.0,0.019085959,7.6431866,286.05487990379333,0.0,5,0.9474564008414745,0.019085959,2369,922.258850075,0.010864947,327680
323.275,1.0,0.016913319,7.63833,287.822163105011,0.0,7,0.9809184912592173,0.016913319,2376,895.3780934499998,0.013514033,329728
320.575,1.0,0.013882851,7.6340327,289.59756994247437,0.0,7,0.9781201928853989,0.013882851,2383,897.3598673500001,0.0053777127,331776
322.875,1.0,0.016056212,7.6371107,291.35594844818115,0.0,6,0.9740373231470585,0.016056212,2389,914.8137233499999,0.013049297,333824
326.7,1.0,0.0283402,7.640145,293.12502670288086,0.0,6,0.9708894975483418,0.0283402,2395,920.8373340750001,0.011218412,335872
352.65,1.0,0.013897145,7.641261,294.89691162109375,0.0,4,0.9545334056019783,0.013897145,2399,995.6765256499999,0.0072600134,337920
330.85,1.0,0.018353991,7.6409836,296.67564606666565,0.0,7,0.9704998973757029,0.018353991,2406,941.646807775,0.008614169,339968
333.925,1.0,0.016793579,7.6424565,298.44890427589417,0.0,6,0.96989880874753,0.016793579,2412,945.7743563749998,0.008851268,342016
347.875,1.0,0.016639566,7.63977,300.23172211647034,0.0,5,0.970307094976306,0.016639566,2417,984.586854125,0.011609307,344064
358.275,1.0,0.020980615,7.6375713,302.01240968704224,0.0,6,0.982541911303997,0.020980615,2423,1016.9089006499999,0.012922263,346112
355.425,1.0,0.014806975,7.6370916,303.77022767066956,0.0,7,0.9815179444849491,0.014806975,2430,1008.8949758000001,0.009555899,348160
345.125,1.0,0.019012883,7.6414776,305.55331230163574,0.0,6,0.9770592898130417,0.019012883,2436,988.1357175249999,0.011042178,350208
328.45,1.0,0.010517658,7.6437063,307.32281970977783,0.0,6,0.9807779751718044,0.010517658,2442,941.5605361499998,0.0048294812,352256
355.775,1.0,0.023252172,7.6398907,309.0461208820343,0.0,5,0.9668703228235245,0.023252172,2447,1016.76910355,0.008880574,354304
341.55,1.0,0.016817242,7.6328044,310.78779673576355,0.0,6,0.9771017879247665,0.016817242,2453,971.7942286499999,0.009400525,356352
331.8,1.0,0.012452664,7.622199,312.54639863967896,0.0,7,0.9783599991351366,0.012452664,2460,950.9856226750001,0.005650959,358400
330.7,1.0,0.02045957,7.6091065,314.32139587402344,0.0,6,0.9634066447615623,0.02045957,2466,943.8790820500001,0.010113455,360448
331.325,1.0,0.026163062,7.605224,316.0916612148285,0.0,7,0.9763314500451088,0.026163062,2473,942.9374910250001,0.013488144,362496
319.325,1.0,0.014920235,7.5991206,317.86741495132446,0.0,8,0.9790508113801479,0.014920235,2481,906.1157449,0.013267353,364544
297.625,1.0,0.012233263,7.5942683,319.6291148662567,0.0,7,0.9849153952673078,0.012233263,2488,855.0583342499998,0.007759532,366592
298.575,1.0,0.035930637,7.5897136,321.38141775131226,0.0,6,0.9718413930386305,0.035930637,2494,863.8579749500001,0.011597849,368640
298.675,1.0,0.021162359,7.5778728,323.0723764896393,0.0,7,0.9831368066370487,0.021162359,2501,868.995498875,0.0151847955,370688
295.7,1.0,0.012085428,7.5670147,324.8544774055481,0.0,7,0.9862934816628695,0.012085428,2508,856.999697775,0.007365785,372736
304.7,1.0,0.024782874,7.558106,326.6355242729187,0.0,6,0.9671590067446232,0.024782874,2514,884.071545475,0.0128733935,374784
309.85,1.0,0.021338351,7.5472336,328.37732315063477,0.0,6,0.9592406563460827,0.021338351,2520,887.0049553749999,0.007283982,376832
310.325,1.0,0.027317068,7.5424724,330.0316278934479,0.0,7,0.9773212224245071,0.027317068,2527,890.33411345,0.0142232645,378880
